date,open,high,low,close,volume,Name
2013-12-16,53.25,54.5,52.91,53.81,85118518,FB
2013-12-17,54.76,55.18,54.24,54.86,78751463,FB
2013-12-18,54.86,55.89,53.75,55.57,76003479,FB
2013-12-19,54.33,55.19,53.95,55.05,89825393,FB
2013-12-20,54.93,55.15,54.23,55.12,239823912,FB
2013-12-23,55.5,58.32,55.45,57.77,98296983,FB
2013-12-24,58.27,58.58,56.91,57.96,46617754,FB
2013-12-26,58.32,58.38,57.37,57.73,55101367,FB
2013-12-27,57.48,57.68,55.25,55.44,60465751,FB
2013-12-30,54.93,55.18,53.43,53.71,68307317,FB
2013-12-31,54.12,54.86,53.91,54.649,43152127,FB
2014-01-02,54.83,55.22,54.19,54.71,43257622,FB
2014-01-03,55.02,55.65,54.53,54.557,38287706,FB
2014-01-06,54.42,57.26,54.05,57.2,68974359,FB
2014-01-07,57.7,58.55,57.22,57.92,77329009,FB
2014-01-08,57.6,58.41,57.23,58.23,56800776,FB
2014-01-09,58.65,58.96,56.65,57.22,92349222,FB
2014-01-10,57.13,58.3,57.06,57.94,42529258,FB
2014-01-13,57.91,58.25,55.38,55.91,63106519,FB
2014-01-14,56.46,57.78,56.1,57.74,37590987,FB
2014-01-15,57.98,58.57,57.27,57.6,33730619,FB
2014-01-16,57.26,58.02,56.83,57.19,34599775,FB
2014-01-17,57.3,57.82,56.07,56.3,40883205,FB
2014-01-21,56.6,58.58,56.5,58.51,48734147,FB
2014-01-22,58.85,59.31,57.1,57.51,61495880,FB
2014-01-23,56.37,56.68,55.6855,56.63,47996403,FB
2014-01-24,56.15,56.42,54.4,54.45,55545338,FB
2014-01-27,54.73,54.9401,51.85,53.55,74142331,FB
2014-01-28,54.02,55.28,54.0,55.14,48364998,FB
2014-01-29,54.61,54.95,53.19,53.53,98089932,FB
2014-01-30,62.12,62.5,60.46,61.08,150438699,FB
2014-01-31,60.47,63.37,60.17,62.57,87930298,FB
2014-02-03,63.03,63.77,60.7,61.48,75105994,FB
2014-02-04,62.05,63.14,61.82,62.75,46064897,FB
2014-02-05,62.74,63.16,61.27,62.19,53032420,FB
2014-02-06,61.46,62.78,61.46,62.16,42153754,FB
2014-02-07,62.27,64.57,62.22,64.32,60835746,FB
2014-02-10,64.3,64.49,63.473,63.548,43736562,FB
2014-02-11,63.75,65.0,63.35,64.851,45746832,FB
2014-02-12,64.92,65.06,64.05,64.45,47409857,FB
2014-02-13,64.18,67.33,64.05,67.33,62013396,FB
2014-02-14,67.5,67.58,66.72,67.09,36786427,FB
2014-02-18,66.94,67.5397,66.07,67.3,43862297,FB
2014-02-19,67.05,69.08,67.0,68.06,64258631,FB
2014-02-20,67.73,70.11,65.727,69.63,131043748,FB
2014-02-21,69.69,69.96,68.45,68.59,70991892,FB
2014-02-24,68.74,71.44,68.54,70.78,76951946,FB
2014-02-25,70.95,71.0,69.45,69.85,52189031,FB
2014-02-26,70.19,71.22,68.85,69.26,55400399,FB
2014-02-27,69.34,70.01,68.87,68.94,41695855,FB
2014-02-28,69.47,69.88,67.38,68.46,66900863,FB
2014-03-03,66.96,68.05,66.51,67.41,56811349,FB
2014-03-04,68.66,68.9,67.62,68.8,42164222,FB
2014-03-05,69.69,71.97,69.62,71.57,74649486,FB
2014-03-06,71.88,71.89,70.25,70.84,46126260,FB
2014-03-07,71.08,71.18,69.47,69.8,38985763,FB
2014-03-10,70.77,72.15,70.51,72.03,59949746,FB
2014-03-11,72.5,72.59,69.96,70.1,59615238,FB
2014-03-12,69.86,71.35,69.0,70.8799,46400431,FB
2014-03-13,71.29,71.35,68.15,68.83,57091157,FB
2014-03-14,68.49,69.43,67.46,67.72,48226824,FB
2014-03-17,68.18,68.95,66.62,68.7399,52196699,FB
2014-03-18,68.76,69.6,68.3,69.19,40827226,FB
2014-03-19,69.17,69.29,67.465,68.24,43980558,FB
2014-03-20,68.01,68.23,66.82,66.97,44438500,FB
2014-03-21,67.53,67.92,66.1786,67.24,60041228,FB
2014-03-24,67.19,67.36,63.36,64.1,85695872,FB
2014-03-25,64.89,66.19,63.78,64.89,68785500,FB
2014-03-26,64.74,64.95,60.37,60.385,97689774,FB
2014-03-27,60.51,61.9,57.98,60.97,112649694,FB
2014-03-28,61.34,61.95,59.335,60.01,67051528,FB
